code	sub_of	prefix	name	old_id	source_note
EX-09-01	EX-09	EX	งานบดอัดดินเดิมของพื้นทางเชื่อม	WP-257	เดิม: WP-257
EX-09-02	EX-09	EX	งานหาพิกัดและระดับพื้นทางเชื่อม	WP-416	เดิม: WP-416 · ใหม่ (Vol.4)
EX-09-03	EX-09	EX	งานลงทรายบดอัดทางเชื่อม	WP-361	เดิม: WP-361
EX-09-04	EX-09	EX	งานวางไวร์เมชทางเชื่อม	WP-362	เดิม: WP-362
EX-09-05	EX-09	EX	งานติดตั้งลูกปูนหนุนเหล็กไวร์เมชทางเชื่อม	WP-458	เดิม: WP-458
EX-09-06	EX-09	EX	งานเข้าแบบทางเชื่อม	WP-363	เดิม: WP-363
EX-09-07	EX-09	EX	งานเทคอนกรีตทางเชื่อม	WP-364	เดิม: WP-364
EX-09-08	EX-09	EX	งานขัดผิวคอนกรีตทางเชื่อม	WP-365	เดิม: WP-365
EX-09-09	EX-09	EX	งานถอดแบบทางเชื่อม	WP-366	เดิม: WP-366
EX-09-10	EX-09	EX	งานทำเขิบทางเชื่อม	WP-367	เดิม: WP-367
EX-09-11	EX-09	EX	งานทาสีเขิบทางเชื่อม	WP-368	เดิม: WP-368
EX-10		EX	งานดาดทางเชื่อม	WP-369	เดิม: WP-369
EX-10-01	EX-10	EX	งานปรับพื้นเตรียมทำดาดทางเชื่อม	WP-370	เดิม: WP-370
EX-10-02	EX-10	EX	งานวางไวร์เมชทางเชื่อม	WP-371	เดิม: WP-371
EX-10-03	EX-10	EX	งานติดตั้งลูกปูนหนุนเหล็กไวร์เมช งานดาดทางเชื่อม	WP-459	เดิม: WP-459
EX-10-04	EX-10	EX	งานเทคอนกรีตทางเชื่อม	WP-372	เดิม: WP-372
EX-10-05	EX-10	EX	งานขัดผิวคอนกรีตทางเชื่อม	WP-373	เดิม: WP-373
O-01		O	งานเก็บรายละเอียดก่อนส่งมอบ	WP-418	เดิม: WP-418 · ใหม่ (Vol.4)
O-01-01	O-01	O	งานทำความสะอาดก่อนส่งมอบงาน	WP-419	เดิม: WP-419 · ใหม่ (Vol.4)
O-01-02	O-01	O	งานติดตั้งเสาไฟฟ้า	WP-463	เดิม: WP-463 · ใหม่ (Vol.4)
O-01-03	O-01	O	งานติดตั้งป้ายเทาว์เวอร์	WP-464	เดิม: WP-464 · ใหม่ (Vol.4)
O-01-04	O-01	O	งานติดตั้งป้ายหน้าร้าน	WP-465	เดิม: WP-465 · ใหม่ (Vol.4)
O-01-05	O-01	O	งานติดตั้งตู้แช่	WP-466	เดิม: WP-466 · ใหม่ (Vol.4)
O-01-06	O-01	O	งานติดตั้งเฟอร์นิเจอร์	WP-467	เดิม: WP-467 · ใหม่ (Vol.4)
O-01-07	O-01	O	งานติดตั้งเครื่องปรับอากาศ	WP-468	เดิม: WP-468 · ใหม่ (Vol.4)
